"subject" "activity" "mode" "parameter" "measure" "axis" "value" "component" "datasource"
"1" "LAYING" "TIME" "" "mean" "X" 0.22159824394 "Body" "Acc"
"1" "LAYING" "TIME" "" "mean" "Y" -0.0405139534294 "Body" "Acc"
"1" "LAYING" "TIME" "" "mean" "Z" -0.11320355358 "Body" "Acc"
"1" "LAYING" "TIME" "" "mean" "X" -0.24888179828 "Gravity" "Acc"
"1" "LAYING" "TIME" "" "mean" "Y" 0.70554977346 "Gravity" "Acc"
"1" "LAYING" "TIME" "" "mean" "Z" 0.4458177198 "Gravity" "Acc"
"1" "LAYING" "TIME" "Jerk" "mean" "X" 0.0810865342 "Body" "Acc"
"1" "LAYING" "TIME" "Jerk" "mean" "Y" 0.0038382040088 "Body" "Acc"
"1" "LAYING" "TIME" "Jerk" "mean" "Z" 0.010834236361 "Body" "Acc"
"1" "LAYING" "TIME" "" "mean" "X" -0.016553093978 "Body" "Gyro"
"1" "LAYING" "TIME" "" "mean" "Y" -0.064486124088 "Body" "Gyro"
"1" "LAYING" "TIME" "" "mean" "Z" 0.14868943626 "Body" "Gyro"
"1" "LAYING" "TIME" "Jerk" "mean" "X" -0.107270949192 "Body" "Gyro"
"1" "LAYING" "TIME" "Jerk" "mean" "Y" -0.04151728689 "Body" "Gyro"
"1" "LAYING" "TIME" "Jerk" "mean" "Z" -0.0740501211 "Body" "Gyro"
"1" "LAYING" "TIME" "Mag" "mean" NA -0.8419291525 "Body" "Acc"
"1" "LAYING" "TIME" "Mag" "mean" NA -0.8419291525 "Gravity" "Acc"
"1" "LAYING" "TIME" "JerkMag" "mean" NA -0.9543962646 "Body" "Acc"
"1" "LAYING" "TIME" "Mag" "mean" NA -0.874759548 "Body" "Gyro"
"1" "LAYING" "TIME" "JerkMag" "mean" NA -0.96346103 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "" "mean" "X" -0.9390990524 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "" "mean" "Y" -0.86706520518 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "" "mean" "Z" -0.8826668762 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "Jerk" "mean" "X" -0.9570738838 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "Jerk" "mean" "Y" -0.9224626098 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "Jerk" "mean" "Z" -0.9480609042 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "" "mean" "X" -0.850249174586 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "" "mean" "Y" -0.9521914948 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "" "mean" "Z" -0.909302721 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "Mag" "mean" NA -0.8617676481 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "JerkMag" "mean" NA -0.9333003608 "Body" "Acc"
"1" "LAYING" "FREQUENCY" "Mag" "mean" NA -0.8621901854 "Body" "Gyro"
"1" "LAYING" "FREQUENCY" "JerkMag" "mean" NA -0.9423669466 "Body" "Gyro"
"1" "LAYING" "TIME" "" "std" "X" -0.9280564692 "Body" "Acc"
"1" "LAYING" "TIME" "" "std" "Y" -0.83682740562 "Body" "Acc"
"1" "LAYING" "TIME" "" "std" "Z" -0.826061401628 "Body" "Acc"
"1" "LAYING" "TIME" "" "std" "X" -0.8968300184 "Gravity" "Acc"
"1" "LAYING" "TIME" "" "std" "Y" -0.90772000676 "Gravity" "Acc"
"1" "LAYING" "TIME" "" "std" "Z" -0.85236629022 "Gravity" "Acc"
"1" "LAYING" "TIME" "Jerk" "std" "X" -0.958482112 "Body" "Acc"
"1" "LAYING" "TIME" "Jerk" "std" "Y" -0.9241492736 "Body" "Acc"
"1" "LAYING" "TIME" "Jerk" "std" "Z" -0.9548551108 "Body" "Acc"
"1" "LAYING" "TIME" "" "std" "X" -0.87354386782 "Body" "Gyro"
"1" "LAYING" "TIME" "" "std" "Y" -0.9510904402 "Body" "Gyro"
"1" "LAYING" "TIME" "" "std" "Z" -0.9082846626 "Body" "Gyro"
"1" "LAYING" "TIME" "Jerk" "std" "X" -0.9186085208 "Body" "Gyro"
"1" "LAYING" "TIME" "Jerk" "std" "Y" -0.9679072436 "Body" "Gyro"
"1" "LAYING" "TIME" "Jerk" "std" "Z" -0.9577901596 "Body" "Gyro"
"1" "LAYING" "TIME" "Mag" "std" NA -0.79514486386 "Body" "Acc"
"1" "LAYING" "TIME" "Mag" "std" NA -0.79514486386 "Gravity" "Acc"
"1" "LAYING" "TIME" "JerkMag" "std" NA -0.9282456284 "Body" "Acc"
